D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
44902|2018|Toyota|Camry|Sedan|Black|45200|15995.00
44903|2020|Ford|Escape|SUV|Blue|33000|18950.00
44904|2015|Chevrolet|Malibu|Sedan|White|89250|10999.00
44905|2019|Nissan|Rogue|SUV|Red|51000|17499.00
44906|2021|Hyundai|Tucson|SUV|Silver|22000|21450.00
44907|2017|Kia|Sorento|SUV|Gray|67000|13995.00
44908|2016|Volkswagen|Jetta|Sedan|Blue|76000|9995.00
44909|2014|Subaru|Forester|SUV|Green|98000|10995.00
44910|2022|Mazda|CX-5|SUV|White|15000|25995.00
